experiment,train_game,test_game,n_classes,label_scheme,model,cv_f1,cv_f1_std,cv_recall,cv_precision,test_f1,test_recall,test_precision,test_auc,per_class_recall,ood_f1,ood_recall,ood_precision,ood_auc,anomaly_auroc,notes,timestamp
granularity_per_dataset,WoT,WoT,2,empirical,Logistic Regression,0.7495,0.0076,0.7417,0.7577,,,,,,,,,,,,2026-04-26 01:52:45
granularity_per_dataset,WoT,WoT,2,empirical,Naive Bayes,0.6966,0.0071,0.7818,0.6283,,,,,,,,,,,,2026-04-26 01:52:45
granularity_per_dataset,WoT,WoT,2,empirical,LinearSVC,0.7455,0.0066,0.7255,0.7669,,,,,,,,,,,,2026-04-26 01:52:45
granularity_per_dataset,WoT,WoT,3,empirical,Logistic Regression,0.6592,0.0133,0.6887,0.6445,,,,,,,,,,,,2026-04-26 01:52:47
granularity_per_dataset,WoT,WoT,3,empirical,Naive Bayes,0.5839,0.01,0.7037,0.5559,,,,,,,,,,,,2026-04-26 01:52:47
granularity_per_dataset,WoT,WoT,3,empirical,LinearSVC,0.654,0.0134,0.6827,0.6402,,,,,,,,,,,,2026-04-26 01:52:50
granularity_per_dataset,WoT,WoT,4,empirical,Logistic Regression,0.5725,0.0217,0.6415,0.5604,,,,,,,,,,,,2026-04-26 01:52:52
granularity_per_dataset,WoT,WoT,4,empirical,Naive Bayes,0.4625,0.0075,0.675,0.4323,,,,,,,,,,,,2026-04-26 01:52:53
granularity_per_dataset,WoT,WoT,4,empirical,LinearSVC,0.5612,0.0213,0.6165,0.5585,,,,,,,,,,,,2026-04-26 01:52:59
granularity_per_dataset,WoT,WoT,5,empirical,Logistic Regression,0.51,0.0588,0.5697,0.5259,,,,,,,,,,,,2026-04-26 01:53:03
granularity_per_dataset,WoT,WoT,5,empirical,Naive Bayes,0.3886,0.0107,0.6292,0.3566,,,,,,,,,,,,2026-04-26 01:53:03
granularity_per_dataset,WoT,WoT,5,empirical,LinearSVC,0.5012,0.0624,0.5473,0.5244,,,,,,,,,,,,2026-04-26 01:53:11
granularity_per_dataset,WoT,WoT,6,empirical,Logistic Regression,0.4842,0.0472,0.5392,0.4835,,,,,,,,,,,,2026-04-26 01:53:18
granularity_per_dataset,WoT,WoT,6,empirical,Naive Bayes,0.349,0.009,0.5924,0.3179,,,,,,,,,,,,2026-04-26 01:53:18
granularity_per_dataset,WoT,WoT,6,empirical,LinearSVC,0.4817,0.046,0.5342,0.4853,,,,,,,,,,,,2026-04-26 01:53:29
granularity_per_dataset,Dota,Dota,2,empirical,Logistic Regression,0.7864,0.0126,0.7345,0.8467,,,,,,,,,,,,2026-04-26 01:53:29
granularity_per_dataset,Dota,Dota,2,empirical,Naive Bayes,0.7263,0.0067,0.7666,0.6902,,,,,,,,,,,,2026-04-26 01:53:29
granularity_per_dataset,Dota,Dota,2,empirical,LinearSVC,0.7702,0.0128,0.7353,0.8089,,,,,,,,,,,,2026-04-26 01:53:29
granularity_per_dataset,Dota,Dota,3,empirical,Logistic Regression,0.7844,0.0075,0.7812,0.7877,,,,,,,,,,,,2026-04-26 01:53:31
granularity_per_dataset,Dota,Dota,3,empirical,Naive Bayes,0.6959,0.0092,0.7442,0.6658,,,,,,,,,,,,2026-04-26 01:53:31
granularity_per_dataset,Dota,Dota,3,empirical,LinearSVC,0.77,0.0027,0.7672,0.773,,,,,,,,,,,,2026-04-26 01:53:33
granularity_per_dataset,Dota,Dota,4,empirical,Logistic Regression,0.7026,0.0076,0.7249,0.6861,,,,,,,,,,,,2026-04-26 01:53:36
granularity_per_dataset,Dota,Dota,4,empirical,Naive Bayes,0.6018,0.0038,0.6896,0.5612,,,,,,,,,,,,2026-04-26 01:53:36
granularity_per_dataset,Dota,Dota,4,empirical,LinearSVC,0.6898,0.0059,0.7053,0.6773,,,,,,,,,,,,2026-04-26 01:53:39
