experiment_name,split_method,evaluation,fold,model,model_config,model_experiment,training_mode,rows,accuracy,f1,recall,precision,fpr,fnr,tpr,tnr,auc,fit_seconds,accuracy_std,f1_std,recall_std,precision_std,fpr_std,fnr_std,tpr_std,tnr_std,auc_std,fit_seconds_std,label_counts,prediction_counts
regular__val__naive_bayes:default,regular,val,,naive_bayes,default,naive_bayes:default,supervised,8520,0.8638,0.4357,0.3874,0.5793,0.0795,0.6126,0.3874,0.9205,0.8702,2.07,,,,,,,,,,,"{""0"": 6375, ""1"": 1078, ""2"": 685, ""3"": 331, ""4"": 49, ""5"": 2}","{""0"": 7272, ""1"": 909, ""2"": 202, ""3"": 137}"
regular__test__naive_bayes:default,regular,test,,naive_bayes,default,naive_bayes:default,supervised,8520,0.8662,0.4384,0.3892,0.5775,0.0768,0.6109,0.3892,0.9232,0.9024,2.03,,,,,,,,,,,"{""0"": 6350, ""1"": 1140, ""2"": 716, ""3"": 277, ""4"": 36, ""5"": 1}","{""0"": 7216, ""1"": 955, ""2"": 238, ""3"": 110, ""4"": 1}"
regular__val__naive_bayes:high_smoothing,regular,val,,naive_bayes,high_smoothing,naive_bayes:high_smoothing,supervised,8520,0.8445,0.3915,0.3425,0.5868,0.0958,0.6575,0.3425,0.9042,0.8377,2.13,,,,,,,,,,,"{""0"": 6375, ""1"": 1078, ""2"": 685, ""3"": 331, ""4"": 49, ""5"": 2}","{""0"": 7540, ""1"": 745, ""2"": 130, ""3"": 105}"
regular__test__naive_bayes:high_smoothing,regular,test,,naive_bayes,high_smoothing,naive_bayes:high_smoothing,supervised,8520,0.845,0.3907,0.3403,0.5884,0.095,0.6597,0.3403,0.905,0.876,2.03,,,,,,,,,,,"{""0"": 6350, ""1"": 1140, ""2"": 716, ""3"": 277, ""4"": 36, ""5"": 1}","{""0"": 7518, ""1"": 768, ""2"": 155, ""3"": 79}"
regular__val__naive_bayes:low_smoothing,regular,val,,naive_bayes,low_smoothing,naive_bayes:low_smoothing,supervised,8520,0.8804,0.5605,0.5371,0.6182,0.0444,0.4629,0.5371,0.9556,0.9492,2.01,,,,,,,,,,,"{""0"": 6375, ""1"": 1078, ""2"": 685, ""3"": 331, ""4"": 49, ""5"": 2}","{""0"": 6365, ""1"": 1211, ""2"": 668, ""3"": 258, ""4"": 18}"
regular__test__naive_bayes:low_smoothing,regular,test,,naive_bayes,low_smoothing,naive_bayes:low_smoothing,supervised,8520,0.8859,0.7171,0.7028,0.757,0.0411,0.2972,0.7028,0.9589,0.9588,2.02,,,,,,,,,,,"{""0"": 6350, ""1"": 1140, ""2"": 716, ""3"": 277, ""4"": 36, ""5"": 1}","{""0"": 6297, ""1"": 1274, ""2"": 700, ""3"": 236, ""4"": 12, ""5"": 1}"
regular__val__naive_bayes:oversampled,regular,val,,naive_bayes,oversampled,naive_bayes:oversampled,supervised,8520,0.7404,0.4724,0.8173,0.4209,0.0522,0.1827,0.8173,0.9478,0.9529,2.13,,,,,,,,,,,"{""0"": 6375, ""1"": 1078, ""2"": 685, ""3"": 331, ""4"": 49, ""5"": 2}","{""0"": 4697, ""1"": 1387, ""2"": 1310, ""3"": 718, ""4"": 351, ""5"": 57}"
regular__test__naive_bayes:oversampled,regular,test,,naive_bayes,oversampled,naive_bayes:oversampled,supervised,8520,0.748,0.4692,0.8434,0.4202,0.0504,0.1566,0.8434,0.9496,0.9601,2.11,,,,,,,,,,,"{""0"": 6350, ""1"": 1140, ""2"": 716, ""3"": 277, ""4"": 36, ""5"": 1}","{""0"": 4688, ""1"": 1450, ""2"": 1326, ""3"": 660, ""4"": 347, ""5"": 49}"
regular__val__logistic_regression:balanced,regular,val,,logistic_regression,balanced,logistic_regression:balanced,supervised,8520,0.8871,0.6883,0.8728,0.6191,0.031,0.1272,0.8729,0.9689,,19.05,,,,,,,,,,,"{""0"": 6375, ""1"": 1078, ""2"": 685, ""3"": 331, ""4"": 49, ""5"": 2}","{""0"": 5999, ""1"": 1078, ""2"": 946, ""3"": 378, ""4"": 111, ""5"": 8}"
regular__test__logistic_regression:balanced,regular,test,,logistic_regression,balanced,logistic_regression:balanced,supervised,8520,0.8899,0.702,0.8818,0.6264,0.0295,0.1182,0.8818,0.9705,,19.35,,,,,,,,,,,"{""0"": 6350, ""1"": 1140, ""2"": 716, ""3"": 277, ""4"": 36, ""5"": 1}","{""0"": 5970, ""1"": 1109, ""2"": 998, ""3"": 351, ""4"": 89, ""5"": 3}"
regular__val__logistic_regression:default,regular,val,,logistic_regression,default,logistic_regression:default,supervised,8520,0.9025,0.6053,0.5542,0.6823,0.0482,0.4458,0.5543,0.9517,,1010.04,,,,,,,,,,,"{""0"": 6375, ""1"": 1078, ""2"": 685, ""3"": 331, ""4"": 49, ""5"": 2}","{""0"": 6787, ""1"": 989, ""2"": 495, ""3"": 218, ""4"": 31}"
regular__test__logistic_regression:default,regular,test,,logistic_regression,default,logistic_regression:default,supervised,8520,0.9124,0.6449,0.6102,0.6896,0.0416,0.3897,0.6102,0.9584,,17.73,,,,,,,,,,,"{""0"": 6350, ""1"": 1140, ""2"": 716, ""3"": 277, ""4"": 36, ""5"": 1}","{""0"": 6673, ""1"": 1061, ""2"": 540, ""3"": 214, ""4"": 32}"
regular__val__logistic_regression:oversampled,regular,val,,logistic_regression,oversampled,logistic_regression:oversampled,supervised,8520,0.8988,0.7217,0.8619,0.6594,0.031,0.1381,0.8619,0.969,,45.66,,,,,,,,,,,"{""0"": 6375, ""1"": 1078, ""2"": 685, ""3"": 331, ""4"": 49, ""5"": 2}","{""0"": 6154, ""1"": 1063, ""2"": 852, ""3"": 355, ""4"": 90, ""5"": 6}"
regular__test__logistic_regression:oversampled,regular,test,,logistic_regression,oversampled,logistic_regression:oversampled,supervised,8520,0.8999,0.7924,0.8554,0.7549,0.0298,0.1446,0.8554,0.9702,,45.17,,,,,,,,,,,"{""0"": 6350, ""1"": 1140, ""2"": 716, ""3"": 277, ""4"": 36, ""5"": 1}","{""0"": 6115, ""1"": 1112, ""2"": 895, ""3"": 326, ""4"": 71, ""5"": 1}"
