experiment_name,split_method,evaluation,fold,model,model_config,model_experiment,training_mode,rows,accuracy,f1,recall,precision,fpr,fnr,tpr,tnr,auc,fit_seconds,accuracy_std,f1_std,recall_std,precision_std,fpr_std,fnr_std,tpr_std,tnr_std,auc_std,fit_seconds_std,label_counts,prediction_counts
train_only_nontoxic__val__isolation_forest:balanced_flags,train_only_nontoxic,val,,isolation_forest,balanced_flags,isolation_forest:balanced_flags,unsupervised,17064,0.3795,0.0788,0.0424,0.5565,0.0565,0.9576,0.0424,0.9435,0.4715,1.63,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 16250, ""1"": 814}"
train_only_nontoxic__test__isolation_forest:balanced_flags,train_only_nontoxic,test,,isolation_forest,balanced_flags,isolation_forest:balanced_flags,unsupervised,17064,0.3753,0.0727,0.0391,0.5123,0.0623,0.9609,0.0391,0.9377,0.4683,1.59,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 16248, ""1"": 816}"
train_only_nontoxic__val__isolation_forest:default,train_only_nontoxic,val,,isolation_forest,default,isolation_forest:default,unsupervised,17064,0.3741,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4715,0.97,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 17064}"
train_only_nontoxic__test__isolation_forest:default,train_only_nontoxic,test,,isolation_forest,default,isolation_forest:default,unsupervised,17064,0.3741,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4683,0.98,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 17064}"
train_only_nontoxic__val__isolation_forest:loose,train_only_nontoxic,val,,isolation_forest,loose,isolation_forest:loose,unsupervised,17064,0.4022,0.1907,0.1125,0.6244,0.1133,0.8875,0.1125,0.8867,0.4715,1.6,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 15139, ""1"": 1925}"
train_only_nontoxic__test__isolation_forest:loose,train_only_nontoxic,test,,isolation_forest,loose,isolation_forest:loose,unsupervised,17064,0.4008,0.1924,0.114,0.6148,0.1195,0.886,0.114,0.8805,0.4683,1.59,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 15083, ""1"": 1981}"
train_only_nontoxic__val__isolation_forest:more_trees,train_only_nontoxic,val,,isolation_forest,more_trees,isolation_forest:more_trees,unsupervised,17064,0.3741,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4987,1.63,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 17064}"
train_only_nontoxic__test__isolation_forest:more_trees,train_only_nontoxic,test,,isolation_forest,more_trees,isolation_forest:more_trees,unsupervised,17064,0.3741,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4946,1.63,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 17064}"
train_only_nontoxic__val__isolation_forest:strict,train_only_nontoxic,val,,isolation_forest,strict,isolation_forest:strict,unsupervised,17064,0.3753,0.0153,0.0078,0.5685,0.0099,0.9922,0.0078,0.9901,0.4715,1.58,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 16918, ""1"": 146}"
train_only_nontoxic__test__isolation_forest:strict,train_only_nontoxic,test,,isolation_forest,strict,isolation_forest:strict,unsupervised,17064,0.3729,0.0126,0.0064,0.4359,0.0138,0.9936,0.0064,0.9862,0.4683,1.58,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 16908, ""1"": 156}"
train_only_nontoxic__val__sgd_one_class_svm:balanced_flags,train_only_nontoxic,val,,sgd_one_class_svm,balanced_flags,sgd_one_class_svm:balanced_flags,unsupervised,17064,0.427,0.2417,0.1459,0.704,0.1026,0.8541,0.1459,0.8974,0.5568,0.31,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 14851, ""1"": 2213}"
train_only_nontoxic__test__sgd_one_class_svm:balanced_flags,train_only_nontoxic,test,,sgd_one_class_svm,balanced_flags,sgd_one_class_svm:balanced_flags,unsupervised,17064,0.426,0.2389,0.1439,0.7021,0.1021,0.8561,0.1439,0.8979,0.551,0.31,,,,,,,,,,,"{""0"": 6384, ""1"": 10680}","{""0"": 14875, ""1"": 2189}"
